date,net_purchases_tonnes
2010-03-31,87
2010-06-30,95
2010-09-30,118
2010-12-31,89
2011-03-31,129
2011-06-30,66
2011-09-30,142
2011-12-31,120
2012-03-31,116
2012-06-30,160
2012-09-30,112
2012-12-31,146
2013-03-31,131
2013-06-30,71
2013-09-30,93
2013-12-31,94
2014-03-31,122
2014-06-30,118
2014-09-30,93
2014-12-31,155
2015-03-31,119
2015-06-30,132
2015-09-30,168
2015-12-31,164
2016-03-31,109
2016-06-30,184
2016-09-30,114
2016-12-31,109
2017-03-31,95
2017-06-30,94
2017-09-30,111
2017-12-31,75
2018-03-31,116
2018-06-30,89
2018-09-30,148
2018-12-31,199
2019-03-31,145
2019-06-30,224
2019-09-30,156
2019-12-31,109
2020-03-31,116
2020-06-30,115
2020-09-30,60
2020-12-31,44
2021-03-31,95
2021-06-30,103
2021-09-30,69
2021-12-31,82
2022-03-31,84
2022-06-30,180
2022-09-30,399
2022-12-31,382
2023-03-31,228
2023-06-30,175
2023-09-30,337
2023-12-31,229
2024-03-31,290
2024-06-30,183
2024-09-30,186
2024-12-31,333
2025-03-31,244
2025-06-30,213
2025-09-30,195
2025-12-31,210
